business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,registrar,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total,domain_suggestions
Fini's Landing,"5689 N Swan Rd, Tucson, AZ 85718, USA",+1 520-299-1010,restaurant,catalina-foothills,https://maps.google.com/?q=Fini%27s%20Landing%205689%20N%20Swan%20Rd%2C%20Tucson%2C%20AZ%2085718%2C%20USA,https://finislanding.com/?utm_source=google,2,custom/unknown,Squarespace Domains II LLC,0,has website,2,false,ChIJif_mso9t1oYRWQ44Xj_T2hs,4.3,1214,
El Cisne Restaurant,"4717 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-638-6160,restaurant,catalina-foothills,https://maps.google.com/?q=El%20Cisne%20Restaurant%204717%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,http://elcisnerestaurant.com/,2,custom/unknown,Launchpad.com Inc.,0,has website,3,false,ChIJK7KQPY5t1oYR6Ta6xz4MV-U,4.2,614,
Bruegger's Bagels,"5665 N Swan Rd, Tucson, AZ 85718, USA",+1 520-529-7424,restaurant,catalina-foothills,https://maps.google.com/?q=Bruegger%27s%20Bagels%205665%20N%20Swan%20Rd%2C%20Tucson%2C%20AZ%2085718%2C%20USA,https://locations.brueggers.com/us/az/tucson/5665-north-swan-rd?y_source=1_OTczMjIyMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,2,wordpress,unregistered,0,has website,5,false,ChIJeSFDSo5t1oYRNq6LHyLkFQY,4.4,284,
Bazil's,"4777 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-577-3322,restaurant,catalina-foothills,https://maps.google.com/?q=Bazil%27s%204777%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,http://bazilstucson.com/,2,wordpress,GoDaddy.com,0,has website,6,false,ChIJ5eoV3pFt1oYRcfd5is6c01Q,4.3,425,
Bisbee Breakfast Club,"4811 E Sunrise Dr Suite 165, Tucson, AZ 85718, USA",+1 520-329-8769,restaurant,catalina-foothills,https://maps.google.com/?q=Bisbee%20Breakfast%20Club%204811%20E%20Sunrise%20Dr%20Suite%20165%2C%20Tucson%2C%20AZ%2085718%2C%20USA,https://www.bisbeebreakfastclub.com/,2,wix,GoDaddy.com,0,has website,7,false,ChIJXS7SxJFt1oYR5ajqoNLS4wE,4.4,1090,
Trattoria Pina,"5541 N Swan Rd, Tucson, AZ 85718, USA",+1 520-577-6992,restaurant,catalina-foothills,https://maps.google.com/?q=Trattoria%20Pina%205541%20N%20Swan%20Rd%2C%20Tucson%2C%20AZ%2085718%2C%20USA,http://www.trattoriapina.com/,2,custom/unknown,GoDaddy.com,0,has website,9,false,ChIJ4RzRdo5t1oYRY5gWBSERdUQ,4.6,648,
ZENSHI Handcrafted Sushi,"4752 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-299-3534,restaurant,catalina-foothills,https://maps.google.com/?q=ZENSHI%20Handcrafted%20Sushi%204752%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,https://www.zenshisushi.com/,2,wix,Network Solutions,0,has website,10,false,ChIJMX7taIxt1oYRGTxSxbF3wgE,,,
Einstein Bros. Bagels,"4708 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-615-0508,restaurant,catalina-foothills,https://maps.google.com/?q=Einstein%20Bros.%20Bagels%204708%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,https://locations.einsteinbros.com/us/az/tucson/4708-e-sunrise-dr?y_source=1_OTA0OTk0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,2,wordpress,unregistered,0,has website,11,false,ChIJFX-9FY5t1oYRmnrb6Kq0vk0,4.2,194,
Fiamme Pizza,"4706 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-529-5777,restaurant,catalina-foothills,https://maps.google.com/?q=Fiamme%20Pizza%204706%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,http://fiammepizzatucson.com/,2,custom/unknown,GoDaddy.com,0,has website,12,false,ChIJqybBFY5t1oYRa-qieD7TdvQ,4.5,910,
Golden Dragon Chinese Restaurant,"4704 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-299-8088,restaurant,catalina-foothills,https://maps.google.com/?q=Golden%20Dragon%20Chinese%20Restaurant%204704%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,http://goldendragontucson.com/,2,custom php,GoDaddy.com,0,has website,13,false,ChIJjUmfFY5t1oYRFM5hOhX0dy4,4.1,254,
La Luz Restaurant,"3800 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-742-6000,restaurant,catalina-foothills,https://maps.google.com/?q=La%20Luz%20Restaurant%203800%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,https://laluztucson.com/,2,wordpress,GoDaddy.com,0,has website,14,false,ChIJHfDeQ2Ny1oYRQZh-OKy7lpU,3.6,30,
Contigo Latin Kitchen,"3770 E Sunrise Dr, Tucson, AZ 85718, USA",+1 520-299-1540,restaurant,catalina-foothills,https://maps.google.com/?q=Contigo%20Latin%20Kitchen%203770%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,http://www.eatatcontigo.com/,2,squarespace,GoDaddy.com,0,has website,15,false,ChIJqSWgmWRy1oYRPrtqLaTYieQ,4.5,966,
